Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,-1712168.93," (1,712,168.93)", 0.00 ,Unnamed: 12,Unnamed: 13
,760090,BAdj Acc For Rev (K),2100067197,BDINUSHA,SA,2016-07-31,2016-08-01,8,49.64, 49.64 ,,,Valuation 3400014649 1 2016 Reversal
,760090,BAdj Acc For Rev (K),2100073020,BDINUSHA,SA,2018-09-30,2018-10-01,10,49.57, 49.57 ,,,Valuation 3200002142 1 2018 Reversal
,760090,BAdj Acc For Rev (K),2100087031,BDINUSHA,SA,2016-09-30,2016-10-01,10,49.43, 49.43 ,,,Valuation 4300000747 3 2016 Reversal
,760090,BAdj Acc For Rev (K),2100054876,BDINUSHA,SA,2018-07-31,2018-08-01,8,-49.27, 49.27 ,,,Valuation 3400015775 1 2018 Reversal
,760090,BAdj Acc For Rev (K),2100009308,BDINUSHA,SA,2016-01-31,2016-02-01,2,-49.16, 49.16 ,,,Valuation 3300003631 3 2015 Reversal
,760090,BAdj Acc For Rev (K),2100037760,BDINUSHA,SA,2017-04-30,2017-05-01,5,49.06, 49.06 ,,,Valuation 3400005664 1 2017 Reversal
,760090,BAdj Acc For Rev (K),2100115724,BDINUSHA,SA,2016-12-31,2016-12-31,12,-49.02, 49.02 ,,,Valuation 3300008438 2 2016
,760090,BAdj Acc For Rev (K),2100818849,BDINUSHA,SA,2023-05-31,2023-05-31,5,48.63, 48.63 ,,,Valuation 3400004516 1 2023
,760090,BAdj Acc For Rev (K),2100028153,MNAVAS,SA,2019-03-31,2019-04-01,4,-48.60, 48.60 ,,,Valuation 3300007250 4 2018 Reversal
,760090,BAdj Acc For Rev (K),2100075525,BDINUSHA,SA,2015-10-31,2015-11-01,11,48.57, 48.57 ,,,Valuation 3300004350 2 2014 Reversal
,760090,BAdj Acc For Rev (K),2100012834,BDINUSHA,SA,2020-02-29,2020-03-01,3,-48.45, 48.45 ,,,Valuation 3400020761 1 2019 Reversal
,760090,BAdj Acc For Rev (K),2100075525,BDINUSHA,SA,2015-10-31,2015-11-01,11,48.43, 48.43 ,,,Valuation 3300009115 2 2015 Reversal
,760090,BAdj Acc For Rev (K),2101662489,BDINUSHA,SA,2023-09-30,2023-09-30,9,-48.42, 48.42 ,,,Valuation 3400007426 1 2023
,760090,BAdj Acc For Rev (K),2102236813,BDINUSHA,SA,2023-12-31,2023-12-31,12,48.39, 48.39 ,,,Valuation 3400015615 1 2023
,760090,BAdj Acc For Rev (K),2100084368,BDINUSHA,SA,2017-09-30,2017-10-01,10,48.36, 48.36 ,,,Valuation 3400008286 1 2017 Reversal
,760090,BAdj Acc For Rev (K),2100066710,RNIMANTHI,SA,2017-07-31,2017-08-01,8,48.29, 48.29 ,,,Valuation 3400008286 1 2017 Reversal
,760090,BAdj Acc For Rev (K),2102724227,BDINUSHA,SA,2021-10-31,2021-11-01,11,48.06, 48.06 ,,,Valuation 3400004739 1 2021 Reversal
,760090,BAdj Acc For Rev (K),2100093700,BDINUSHA,SA,2017-10-31,2017-11-01,11,48.02, 48.02 ,,,Valuation 3300008130 2 2017 Reversal
,760090,BAdj Acc For Rev (K),2101265856,BDINUSHA,SA,2020-10-31,2020-11-01,11,-47.93, 47.93 ,,,Valuation 3400016736 1 2020 Reversal
,760090,BAdj Acc For Rev (K),2100006350,BDINUSHA,SA,2020-01-31,2020-02-01,2,-47.71, 47.71 ,,,Valuation 3400020761 1 2019 Reversal
,760090,BAdj Acc For Rev (K),2100006341,BDINUSHA,SA,2020-01-31,2020-02-01,2,47.65, 47.65 ,,,Valuation 3300009761 2 2018 Reversal
,760090,BAdj Acc For Rev (K),2100089050,BDINUSHA,SA,2019-11-30,2019-12-01,12,-47.61, 47.61 ,,,Valuation 3400023061 1 2019 Reversal
,760090,BAdj Acc For Rev (K),2100099125,BDINUSHA,SA,2015-12-31,2015-12-31,12,47.43, 47.43 ,,,Valuation 3300003631 3 2015
,760090,BAdj Acc For Rev (K),2100081869,BDINUSHA,SA,2019-10-31,2019-10-31,10,-47.28, 47.28 ,,,Valuation 2000023914 1 2018
,760090,BAdj Acc For Rev (K),2100066713,RNIMANTHI,SA,2017-07-31,2017-08-01,8,47.22, 47.22 ,,,Valuation 3200002343 1 2017 Reversal
,760090,BAdj Acc For Rev (K),2100007520,BDINUSHA,SA,2018-01-31,2018-02-01,2,-47.05, 47.05 ,,,Valuation 7700001195 2 2017 Reversal
,760090,BAdj Acc For Rev (K),2100016433,BDINUSHA,SA,2020-03-31,2020-04-01,4,-46.97, 46.97 ,,,Valuation 3300009761 2 2018 Reversal
,760090,BAdj Acc For Rev (K),2100818856,BDINUSHA,SA,2023-05-31,2023-06-01,6,-46.93, 46.93 ,,,Valuation 3400004714 1 2023 Reversal
,760090,BAdj Acc For Rev (K),2100096179,BDINUSHA,SA,2016-10-31,2016-11-01,11,-46.91, 46.91 ,,,Valuation 3400015681 1 2016 Reversal
,760090,BAdj Acc For Rev (K),2100006964,BDINUSHA,SA,2015-01-31,2015-02-01,2,-46.73, 46.73 ,,,Valuation 3200004342 1 2015 Reversal
,760090,BAdj Acc For Rev (K),2100064303,BDINUSHA,SA,2018-08-31,2018-08-31,8,46.68, 46.68 ,,,Valuation 3300000014 3 2018
,760090,BAdj Acc For Rev (K),2100042179,BDINUSHA,SA,2019-05-31,2019-05-31,5,-46.61, 46.61 ,,,Valuation 3400010309 1 2019
,760090,BAdj Acc For Rev (K),2102146116,BDINUSHA,SA,2021-08-31,2021-08-31,8,-46.59, 46.59 ,,,Valuation 3400014525 1 2021
,760090,BAdj Acc For Rev (K),2100015183,BDINUSHA,SA,2018-02-28,2018-02-28,2,46.42, 46.42 ,,,Valuation 7700001043 2 2017
,760090,BAdj Acc For Rev (K),2100028758,BDINUSHA,SA,2018-04-30,2018-04-30,4,46.30, 46.30 ,,,Valuation 7700001195 2 2017
,760090,BAdj Acc For Rev (K),2100084363,BDINUSHA,SA,2017-09-30,2017-09-30,9,-46.29, 46.29 ,,,Valuation 3200002343 1 2017
,760090,BAdj Acc For Rev (K),2101539218,BDINUSHA,SA,2020-11-30,2020-11-30,11,-46.27, 46.27 ,,,Valuation 3400009401 1 2020
,760090,BAdj Acc For Rev (K),2100021557,BDINUSHA,SA,2022-12-31,2023-01-01,1,46.23, 46.23 ,,,Valuation 3400010910 1 2022 Reversal
,760090,BAdj Acc For Rev (K),2100016432,BDINUSHA,SA,2020-03-31,2020-03-31,3,46.04, 46.04 ,,,Valuation 3300008096 4 2019
,760090,BAdj Acc For Rev (K),2100000095,BDINUSHA,SA,2015-12-31,2016-01-01,1,-45.88, 45.88 ,,,Valuation 3300009744 2 2015 Reversal
,760090,BAdj Acc For Rev (K),2100015190,BDINUSHA,SA,2018-02-28,2018-02-28,2,-45.78, 45.78 ,,,Valuation 3400002506 1 2018
